,2015~2020 야구선수,,,데이터 출처: STATIZ,,,"롯데,삼성,해태",,,,,,,,,,,,,,,,,,,,,,,,,
선수명,연도,팀,나이,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,연봉(만 원)
박세웅,2016,롯데,21,27,0,0,27,7,12,0,0,139,97,89,627,160,31,3,17,62,0,6,133,0,9,5.76,4.94,1.6,90.7,105.7,0.95,5600
박세웅,2017,롯데,22,28,0,0,28,12,6,0,0,171.1,74,70,725,170,25,1,21,56,2,9,117,0,7,3.68,5.07,1.32,137,99.3,4.63,10000
박세웅,2018,롯데,23,14,0,0,12,1,5,0,0,49,54,54,258,83,20,2,10,29,0,4,40,0,3,9.92,6.87,2.29,52.6,76.1,-1.2,25000
박세웅,2019,롯데,24,12,0,0,12,3,6,0,0,60,33,28,263,66,12,3,3,23,0,0,44,0,4,4.2,3.74,1.48,99.8,112.2,0.98,25000
박세웅,2020,롯데,25,28,0,0,28,8,10,0,0,147.1,85,77,658,177,27,2,20,47,0,8,108,0,13,4.7,4.97,1.52,103.6,96.5,2.02,11000
노경은,2017,롯데,33,9,0,0,2,0,2,0,0,14.2,19,19,76,25,5,0,4,8,0,1,8,0,1,11.66,8.03,2.25,43.2,62.9,-0.49,16000
노경은,2018,롯데,34,33,0,0,19,9,6,0,0,132.1,65,60,547,127,24,3,18,30,1,4,89,0,1,4.08,5,1.19,127.8,104.5,3.41,10000
노경은,2020,롯데,36,25,1,0,24,5,10,0,0,133,76,72,574,139,31,1,19,40,2,3,77,0,3,4.87,5.18,1.35,100,92.7,1.7,20000
김건국,2018,롯데,30,5,0,0,1,1,0,0,0,10.2,3,3,41,11,2,0,1,0,0,1,9,0,0,2.53,3.65,1.03,206.1,143.1,0.47,2700
김건국,2019,롯데,31,37,0,0,5,3,3,0,3,66.2,34,33,293,73,8,1,5,27,0,6,43,0,3,4.46,4.57,1.5,94.1,91.6,0.9,2700
